session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ff18bbea4d8245dd5fdf8f6,5ba345bcf07414000106135e,APPROVED,2021-01-03 09:17:56.120000,2021-01-03 09:35:36.739000,1060.619,60,640,1,100,2021-01-05 23:08:46.830000,8256C4AC,United States,United States,Part-Time,English,United States,Male,No
5ff18bfb50a7195860c30192,5f85bd6e80e28b067e4e7f6d,APPROVED,2021-01-03 09:19:56.152000,2021-01-03 09:41:43.860000,1307.708,32,159,5,95,2021-01-05 23:08:53.990000,8256C4AC,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,No
5ff18c03520dd15ddabc6b2a,5fcd14009e587ebdce6a5a9d,APPROVED,2021-01-03 09:24:47.909000,2021-01-03 09:42:15.144000,1047.235,33,26,0,100,2021-01-05 23:08:58.848000,8256C4AC,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,No
5ff18c08feba310eb80b1d51,5fcd06a560422db6fbd81948,APPROVED,2021-01-03 09:24:47.161000,2021-01-03 09:42:18.091000,1050.93,32,21,0,100,2021-01-05 23:09:02.548000,8256C4AC,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,No
5ff18c0e238d4b0ecc14709a,5fcd1067636416ae5a226a9e,APPROVED,2021-01-03 09:24:46.425000,2021-01-03 09:42:21.612000,1055.187,31,23,0,100,2021-01-05 23:09:06.741000,8256C4AC,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,No
5ff18c177e067a57d19901a6,5eb3935fd0e02317909c5f32,APPROVED,2021-01-03 09:19:19.006000,2021-01-03 09:49:04.664000,1785.658,30,323,0,100,2021-01-05 23:09:11.355000,NOCODE,United States,United States,Other,English,United States,Female,No
5ff18c17fdb6e65c3df818d2,5ed2fa0793788128b41df2cd,APPROVED,2021-01-03 09:19:19.254000,2021-01-03 09:38:31.130000,1151.876,32,435,1,100,2021-01-05 23:09:17.142000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No
5ff18c22238d4b0ecc14709b,5fd52db951ee1535602390a7,APPROVED,2021-01-03 09:19:35.817000,2021-01-03 09:30:35.246000,659.429,44,48,0,100,2021-01-05 23:09:23.817000,8256C4AC,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,DATA EXPIRED
5ff18c2b7e067a575b0d7ca6,5ec4630ddd0a4816896af35d,RETURNED,2021-01-03 09:19:42.936000,2021-01-03 09:25:01.922000,318.986,38,224,2,100,,8256C4AC,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff18c74b9b6090f46c0fcf0,5fc6e2901d999011bf7881ac,APPROVED,2021-01-03 09:20:55.129000,2021-01-03 09:25:27.809000,272.68,34,45,0,100,2021-01-05 23:09:28.343000,NOCODE,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No
5ff18c953ce8065e68f54d9c,5b2557ac8b4002000106cb20,APPROVED,2021-01-03 09:21:48.510000,2021-01-03 09:45:32.134000,1423.624,49,1289,3,100,2021-01-05 23:09:33.103000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5ff18c9799e7cf5c9ef3b107,5db0a97f127d4000117cdfa0,APPROVED,2021-01-03 09:21:30.786000,2021-01-03 09:37:52.847000,982.061,44,833,0,100,2021-01-05 23:09:47.812000,8256C4AC,United States,United States,Full-Time,English,United States,Female,No
5ff18cc7eae5435d1d234474,570b7f8fb9b52b00102d9723,APPROVED,2021-01-03 09:22:21.132000,2021-01-03 09:31:20.521000,539.389,52,1581,7,99,2021-01-05 23:09:56.861000,8256C4AC,United States,United States,Full-Time,English,United States,Female,Yes
5ff18ccdb11116580ec2e457,5dfd077e3690bd03bfa91d48,APPROVED,2021-01-03 09:22:27.949000,2021-01-03 09:34:29.449000,721.5,54,933,3,100,2021-01-05 23:10:10.883000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5ff18cd76bfb6357b7ac76cf,5f330bfd7109cd0e649566b6,TIMED-OUT,2021-01-03 09:22:37.701000,,656772.825148,49,109,0,100,,,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,Yes
5ff18ce1b0feb85e042ff005,5fcd13ff32c262bd95384b45,APPROVED,2021-01-03 09:24:47.934000,2021-01-03 09:42:26.366000,1058.432,30,19,0,100,2021-01-05 23:10:21.200000,8256C4AC,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,No
5ff18d0ed1cd50db76bce27e,5ae16c12e0feeb0001cb0cff,RETURNED,2021-01-03 09:23:34.894000,,656715.793628,59,485,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff18e2743c5785f2adc9036,5fd53f4bdf465e17daba78c3,APPROVED,2021-01-03 09:28:11.148000,2021-01-03 09:39:36.281000,685.133,35,53,0,100,2021-01-05 23:10:25.543000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Female,No
